Campaign,Ad group,Keyword,Criterion Type,Max CPC,Final URL,Status
Search - Travel eSIM - AU,Thailand eSIM,telstra roaming alternative thailand,Exact,4.00,https://www.trvel.co/en-au/thailand/,Enabled
Search - Travel eSIM - AU,Indonesia eSIM,indonesia esim,Exact,4.00,https://www.trvel.co/en-au/indonesia/,Enabled
Search - Travel eSIM - AU,Indonesia eSIM,bali esim,Exact,4.00,https://www.trvel.co/en-au/indonesia/,Enabled
Search - Travel eSIM - AU,Indonesia eSIM,esim bali,Exact,4.00,https://www.trvel.co/en-au/indonesia/,Enabled
Search - Travel eSIM - AU,Indonesia eSIM,esim indonesia,Exact,4.00,https://www.trvel.co/en-au/indonesia/,Enabled
Search - Travel eSIM - AU,Indonesia eSIM,jakarta esim,Exact,4.00,https://www.trvel.co/en-au/indonesia/,Enabled
Search - Travel eSIM - AU,Indonesia eSIM,bali travel sim,Exact,4.00,https://www.trvel.co/en-au/indonesia/,Enabled
Search - Travel eSIM - AU,Indonesia eSIM,bali data sim,Exact,4.00,https://www.trvel.co/en-au/indonesia/,Enabled
Search - Travel eSIM - AU,Indonesia eSIM,indonesia sim card tourist,Exact,4.00,https://www.trvel.co/en-au/indonesia/,Enabled
Search - Travel eSIM - AU,Indonesia eSIM,esim for bali,Exact,4.00,https://www.trvel.co/en-au/indonesia/,Enabled
Search - Travel eSIM - AU,Indonesia eSIM,bali mobile data,Exact,4.00,https://www.trvel.co/en-au/indonesia/,Enabled
Search - Travel eSIM - AU,Indonesia eSIM,buy bali esim,Exact,4.00,https://www.trvel.co/en-au/indonesia/,Enabled
Search - Travel eSIM - AU,Indonesia eSIM,bali esim unlimited data,Exact,4.00,https://www.trvel.co/en-au/indonesia/,Enabled
Search - Travel eSIM - AU,Indonesia eSIM,australia to bali esim,Exact,4.00,https://www.trvel.co/en-au/indonesia/,Enabled
Search - Travel eSIM - AU,Singapore eSIM,singapore esim,Exact,3.50,https://www.trvel.co/en-au/singapore/,Enabled
Search - Travel eSIM - AU,Singapore eSIM,esim singapore,Exact,3.50,https://www.trvel.co/en-au/singapore/,Enabled
Search - Travel eSIM - AU,Singapore eSIM,singapore travel sim,Exact,3.50,https://www.trvel.co/en-au/singapore/,Enabled
Search - Travel eSIM - AU,Singapore eSIM,singapore data sim,Exact,3.50,https://www.trvel.co/en-au/singapore/,Enabled
Search - Travel eSIM - AU,Singapore eSIM,singapore sim card tourist,Exact,3.50,https://www.trvel.co/en-au/singapore/,Enabled
Search - Travel eSIM - AU,Singapore eSIM,esim for singapore,Exact,3.50,https://www.trvel.co/en-au/singapore/,Enabled
Search - Travel eSIM - AU,Singapore eSIM,singapore mobile data,Exact,3.50,https://www.trvel.co/en-au/singapore/,Enabled
Search - Travel eSIM - AU,Singapore eSIM,sg esim,Exact,3.50,https://www.trvel.co/en-au/singapore/,Enabled
Search - Travel eSIM - AU,Singapore eSIM,buy singapore esim,Exact,3.50,https://www.trvel.co/en-au/singapore/,Enabled
Search - Travel eSIM - AU,Singapore eSIM,australia to singapore esim,Exact,3.50,https://www.trvel.co/en-au/singapore/,Enabled
Search - Travel eSIM - AU,South Korea eSIM,korea esim,Exact,4.50,https://www.trvel.co/en-au/south-korea/,Enabled
Search - Travel eSIM - AU,South Korea eSIM,south korea esim,Exact,4.50,https://www.trvel.co/en-au/south-korea/,Enabled
Search - Travel eSIM - AU,South Korea eSIM,esim korea,Exact,4.50,https://www.trvel.co/en-au/south-korea/,Enabled
Search - Travel eSIM - AU,South Korea eSIM,seoul esim,Exact,4.50,https://www.trvel.co/en-au/south-korea/,Enabled
Search - Travel eSIM - AU,South Korea eSIM,busan esim,Exact,4.50,https://www.trvel.co/en-au/south-korea/,Enabled
Search - Travel eSIM - AU,South Korea eSIM,korea travel sim,Exact,4.50,https://www.trvel.co/en-au/south-korea/,Enabled
Search - Travel eSIM - AU,South Korea eSIM,korea data sim,Exact,4.50,https://www.trvel.co/en-au/south-korea/,Enabled
Search - Travel eSIM - AU,South Korea eSIM,korean sim card tourist,Exact,4.50,https://www.trvel.co/en-au/south-korea/,Enabled
Search - Travel eSIM - AU,South Korea eSIM,esim for korea,Exact,4.50,https://www.trvel.co/en-au/south-korea/,Enabled
Search - Travel eSIM - AU,South Korea eSIM,korea mobile data,Exact,4.50,https://www.trvel.co/en-au/south-korea/,Enabled
Search - Travel eSIM - AU,South Korea eSIM,buy korea esim,Exact,4.50,https://www.trvel.co/en-au/south-korea/,Enabled
Search - Travel eSIM - AU,South Korea eSIM,korea esim unlimited data,Exact,4.50,https://www.trvel.co/en-au/south-korea/,Enabled
Search - Travel eSIM - AU,Vietnam eSIM,vietnam esim,Exact,3.50,https://www.trvel.co/en-au/vietnam/,Enabled
Search - Travel eSIM - AU,Vietnam eSIM,esim vietnam,Exact,3.50,https://www.trvel.co/en-au/vietnam/,Enabled
Search - Travel eSIM - AU,Vietnam eSIM,hanoi esim,Exact,3.50,https://www.trvel.co/en-au/vietnam/,Enabled
Search - Travel eSIM - AU,Vietnam eSIM,ho chi minh esim,Exact,3.50,https://www.trvel.co/en-au/vietnam/,Enabled
Search - Travel eSIM - AU,Vietnam eSIM,saigon esim,Exact,3.50,https://www.trvel.co/en-au/vietnam/,Enabled
Search - Travel eSIM - AU,Vietnam eSIM,vietnam travel sim,Exact,3.50,https://www.trvel.co/en-au/vietnam/,Enabled
Search - Travel eSIM - AU,Vietnam eSIM,vietnam data sim,Exact,3.50,https://www.trvel.co/en-au/vietnam/,Enabled
Search - Travel eSIM - AU,Vietnam eSIM,vietnam sim card tourist,Exact,3.50,https://www.trvel.co/en-au/vietnam/,Enabled
Search - Travel eSIM - AU,Vietnam eSIM,esim for vietnam,Exact,3.50,https://www.trvel.co/en-au/vietnam/,Enabled
Search - Travel eSIM - AU,Vietnam eSIM,vietnam mobile data,Exact,3.50,https://www.trvel.co/en-au/vietnam/,Enabled
Search - Travel eSIM - AU,Vietnam eSIM,buy vietnam esim,Exact,3.50,https://www.trvel.co/en-au/vietnam/,Enabled
Search - Travel eSIM - AU,Malaysia eSIM,malaysia esim,Exact,3.50,https://www.trvel.co/en-au/malaysia/,Enabled
Search - Travel eSIM - AU,Malaysia eSIM,esim malaysia,Exact,3.50,https://www.trvel.co/en-au/malaysia/,Enabled
Search - Travel eSIM - AU,Malaysia eSIM,kuala lumpur esim,Exact,3.50,https://www.trvel.co/en-au/malaysia/,Enabled
Search - Travel eSIM - AU,Malaysia eSIM,kl esim,Exact,3.50,https://www.trvel.co/en-au/malaysia/,Enabled
Search - Travel eSIM - AU,Malaysia eSIM,langkawi esim,Exact,3.50,https://www.trvel.co/en-au/malaysia/,Enabled
Search - Travel eSIM - AU,Malaysia eSIM,penang esim,Exact,3.50,https://www.trvel.co/en-au/malaysia/,Enabled
Search - Travel eSIM - AU,Malaysia eSIM,malaysia travel sim,Exact,3.50,https://www.trvel.co/en-au/malaysia/,Enabled
Search - Travel eSIM - AU,Malaysia eSIM,malaysia data sim,Exact,3.50,https://www.trvel.co/en-au/malaysia/,Enabled
Search - Travel eSIM - AU,Malaysia eSIM,malaysia sim card tourist,Exact,3.50,https://www.trvel.co/en-au/malaysia/,Enabled
Search - Travel eSIM - AU,Malaysia eSIM,esim for malaysia,Exact,3.50,https://www.trvel.co/en-au/malaysia/,Enabled
Search - Travel eSIM - AU,Malaysia eSIM,buy malaysia esim,Exact,3.50,https://www.trvel.co/en-au/malaysia/,Enabled
